,molecule1,molecule2,score
0,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AAK1_5l4q_altA_chainA,0.9331647298554387
1,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AAK1_5te0_chainA,0.9031930845367195
2,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ABL1_2f4j_chainA,0.7350773799480008
3,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ABL1_2g1t_chainA,0.6785372703719449
4,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ABL1_2g2i_chainA,0.7389993944224988
5,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ABL1_2gqg_altB_chainA,0.724649380079544
6,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ABL1_2hz4_chainB,0.8150442083046263
7,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ABL1_2v7a_chainB,0.7276007732832219
8,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ABL1_4twp_chainB,0.7141593732059125
9,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ABL2_2xyn_altA_chainA,0.7468048916460176
10,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ACK_1u46_chainA,0.7845892269973105
11,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ACK_1u4d_chainB,0.7393667921136905
12,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ACK_1u54_chainB,0.6862283860093409
13,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ACK_3eqp_chainB,0.7866928366862891
14,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ACK_3eqr_chainA,0.7263541488589559
15,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ACK_4ewh_chainA,0.7424739967936744
16,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ACK_4hzr_altA_chainA,0.7014854275090165
17,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ACK_4hzs_chainC,0.6981173637919825
18,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ACK_4id7_chainA,0.7853393390618355
19,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ACTR2_3q4t_altA_chainB,0.7480021254595708
20,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ACTR2_3soc_altA_chainA,0.7465825108427904
21,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ACTR2_4asx_altB_chainB,0.7517370286530709
22,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ACTR2B_2qlu_chainA,0.7657901757487063
23,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ADCK3_4ped_altB_chainA,0.6437202451858904
24,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/ADCK3_5i35_chainA,0.6649469581830844
25,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT1_3cqu_altB_chainA,0.84889038519502
26,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT1_3cqw_altA_chainA,0.8231501330255422
27,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT1_3mv5_altB_chainA,0.8369831939672746
28,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT1_3mvh_altB_chainA,0.8460585895531774
29,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT1_3ocb_chainA,0.8272068136726987
30,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT1_3ow4_chainB,0.8150755850460174
31,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT1_3qkk_chainA,0.8124727797734747
32,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT1_3qkl_chainA,0.8191388357714147
33,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT1_3qkm_chainA,0.8074471949562357
34,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT1_4ekk_chainB,0.8537923398817228
35,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT1_4ekl_chainA,0.8376399721287426
36,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT1_4gv1_altB_chainA,0.8299120934128218
37,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT1_6buu_altB_chainB,0.8381961706902559
38,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT1_6ccy_altB_chainA,0.7708581926960119
39,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT1_6npz_altB_chainA,0.8318544047723717
40,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT2_1o6k_chainA,0.8651292679559304
41,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT2_1o6l_chainA,0.8689195647487116
42,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT2_2jdo_chainA,0.8450189935274253
43,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT2_2jdr_chainA,0.8440392173936866
44,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT2_2uw9_chainA,0.839260664262199
45,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT2_2x39_chainA,0.8384053267470561
46,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT2_2xh5_chainA,0.7987420681613745
47,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT2_3d0e_chainA,0.8464643832782427
48,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT2_3e87_altA_chainB,0.8326601117609774
49,HUMAN/AAK1_4wsq_altA_chainB,HUMAN/AKT2_3e88_chainA,0.84768958152067
